"County","State","Year","Population"
"ANDERSON COUNTY","TX","2010",58495
"ANDREWS COUNTY","TX","2010",14847
"ANGELINA COUNTY","TX","2010",86903
"ARANSAS COUNTY","TX","2010",23181
"ARCHER COUNTY","TX","2010",9112
"ARMSTRONG COUNTY","TX","2010",1902
"ATASCOSA COUNTY","TX","2010",44950
"AUSTIN COUNTY","TX","2010",28357
"BAILEY COUNTY","TX","2010",7153
"BANDERA COUNTY","TX","2010",20557
"BASTROP COUNTY","TX","2010",74317
"BAYLOR COUNTY","TX","2010",3708
"BEE COUNTY","TX","2010",31863
"BELL COUNTY","TX","2010",312854
"BEXAR COUNTY","TX","2010",1722797
"BLANCO COUNTY","TX","2010",10509
"BORDEN COUNTY","TX","2010",646
"BOSQUE COUNTY","TX","2010",18272
"BOWIE COUNTY","TX","2010",92635
"BRAZORIA COUNTY","TX","2010",314453
"BRAZOS COUNTY","TX","2010",195662
"BREWSTER COUNTY","TX","2010",9260
"BRISCOE COUNTY","TX","2010",1632
"BROOKS COUNTY","TX","2010",7208
"BROWN COUNTY","TX","2010",38079
"BURLESON COUNTY","TX","2010",17233
"BURNET COUNTY","TX","2010",42755
"CALDWELL COUNTY","TX","2010",38128
"CALHOUN COUNTY","TX","2010",21311
"CALLAHAN COUNTY","TX","2010",13511
"CAMERON COUNTY","TX","2010",407590
"CAMP COUNTY","TX","2010",12396
"CARSON COUNTY","TX","2010",6159
"CASS COUNTY","TX","2010",30455
"CASTRO COUNTY","TX","2010",8121
"CHAMBERS COUNTY","TX","2010",35445
"CHEROKEE COUNTY","TX","2010",50939
"CHILDRESS COUNTY","TX","2010",7071
"CLAY COUNTY","TX","2010",10735
"COCHRAN COUNTY","TX","2010",3145
"COKE COUNTY","TX","2010",3319
"COLEMAN COUNTY","TX","2010",8874
"COLLIN COUNTY","TX","2010",788442
"COLLINGSWORTH COUNTY","TX","2010",3054
"COLORADO COUNTY","TX","2010",20870
"COMAL COUNTY","TX","2010",109251
"COMANCHE COUNTY","TX","2010",13951
"CONCHO COUNTY","TX","2010",4101
"COOKE COUNTY","TX","2010",38463
"CORYELL COUNTY","TX","2010",75660
"COTTLE COUNTY","TX","2010",1511
"CRANE COUNTY","TX","2010",4382
"CROCKETT COUNTY","TX","2010",3701
"CROSBY COUNTY","TX","2010",6026
"CULBERSON COUNTY","TX","2010",2404
"DALLAM COUNTY","TX","2010",6746
"DALLAS COUNTY","TX","2010",2372257
"DAWSON COUNTY","TX","2010",13827
"DEAF SMITH COUNTY","TX","2010",19458
"DELTA COUNTY","TX","2010",5241
"DENTON COUNTY","TX","2010",666750
"DEWITT COUNTY","TX","2010",20055
"DICKENS COUNTY","TX","2010",2447
"DIMMIT COUNTY","TX","2010",10043
"DONLEY COUNTY","TX","2010",3736
"DUVAL COUNTY","TX","2010",11720
"EASTLAND COUNTY","TX","2010",18594
"ECTOR COUNTY","TX","2010",137079
"EDWARDS COUNTY","TX","2010",1999
"ELLIS COUNTY","TX","2010",150364
"EL PASO COUNTY","TX","2010",803511
"ERATH COUNTY","TX","2010",37912
"FALLS COUNTY","TX","2010",17893
"FANNIN COUNTY","TX","2010",33917
"FAYETTE COUNTY","TX","2010",24557
"FISHER COUNTY","TX","2010",3969
"FLOYD COUNTY","TX","2010",6403
"FOARD COUNTY","TX","2010",1345
"FORT BEND COUNTY","TX","2010",590286
"FRANKLIN COUNTY","TX","2010",10609
"FREESTONE COUNTY","TX","2010",19801
"FRIO COUNTY","TX","2010",17258
"GAINES COUNTY","TX","2010",17584
"GALVESTON COUNTY","TX","2010",292470
"GARZA COUNTY","TX","2010",6465
"GILLESPIE COUNTY","TX","2010",24885
"GLASSCOCK COUNTY","TX","2010",1232
"GOLIAD COUNTY","TX","2010",7219
"GONZALES COUNTY","TX","2010",19788
"GRAY COUNTY","TX","2010",22467
"GRAYSON COUNTY","TX","2010",121034
"GREGG COUNTY","TX","2010",121993
"GRIMES COUNTY","TX","2010",26613
"GUADALUPE COUNTY","TX","2010",132594
"HALE COUNTY","TX","2010",36291
"HALL COUNTY","TX","2010",3358
"HAMILTON COUNTY","TX","2010",8464
"HANSFORD COUNTY","TX","2010",5600
"HARDEMAN COUNTY","TX","2010",4159
"HARDIN COUNTY","TX","2010",54783
"HARRIS COUNTY","TX","2010",4107854
"HARRISON COUNTY","TX","2010",65752
"HARTLEY COUNTY","TX","2010",6064
"HASKELL COUNTY","TX","2010",5878
"HAYS COUNTY","TX","2010",158203
"HEMPHILL COUNTY","TX","2010",3795
"HENDERSON COUNTY","TX","2010",78623
"HIDALGO COUNTY","TX","2010",779015
"HILL COUNTY","TX","2010",35134
"HOCKLEY COUNTY","TX","2010",22851
"HOOD COUNTY","TX","2010",51263
"HOPKINS COUNTY","TX","2010",35204
"HOUSTON COUNTY","TX","2010",23682
"HOWARD COUNTY","TX","2010",34982
"HUDSPETH COUNTY","TX","2010",3472
"HUNT COUNTY","TX","2010",86380
"HUTCHINSON COUNTY","TX","2010",22210
"IRION COUNTY","TX","2010",1607
"JACK COUNTY","TX","2010",9007
"JACKSON COUNTY","TX","2010",14090
"JASPER COUNTY","TX","2010",35774
"JEFF DAVIS COUNTY","TX","2010",2344
"JEFFERSON COUNTY","TX","2010",252453
"JIM HOGG COUNTY","TX","2010",5288
"JIM WELLS COUNTY","TX","2010",40887
"JOHNSON COUNTY","TX","2010",151248
"JONES COUNTY","TX","2010",20237
"KARNES COUNTY","TX","2010",14884
"KAUFMAN COUNTY","TX","2010",103886
"KENDALL COUNTY","TX","2010",33625
"KENEDY COUNTY","TX","2010",417
"KENT COUNTY","TX","2010",812
"KERR COUNTY","TX","2010",49619
"KIMBLE COUNTY","TX","2010",4602
"KING COUNTY","TX","2010",289
"KINNEY COUNTY","TX","2010",3590
"KLEBERG COUNTY","TX","2010",32033
"KNOX COUNTY","TX","2010",3723
"LAMAR COUNTY","TX","2010",49816
"LAMB COUNTY","TX","2010",13993
"LAMPASAS COUNTY","TX","2010",19763
"LA SALLE COUNTY","TX","2010",6914
"LAVACA COUNTY","TX","2010",19253
"LEE COUNTY","TX","2010",16591
"LEON COUNTY","TX","2010",16725
"LIBERTY COUNTY","TX","2010",75856
"LIMESTONE COUNTY","TX","2010",23480
"LIPSCOMB COUNTY","TX","2010",3283
"LIVE OAK COUNTY","TX","2010",11551
"LLANO COUNTY","TX","2010",19332
"LOVING COUNTY","TX","2010",84
"LUBBOCK COUNTY","TX","2010",280286
"LYNN COUNTY","TX","2010",5914
"MCCULLOCH COUNTY","TX","2010",8230
"MCLENNAN COUNTY","TX","2010",235911
"MCMULLEN COUNTY","TX","2010",711
"MADISON COUNTY","TX","2010",13734
"MARION COUNTY","TX","2010",10488
"MARTIN COUNTY","TX","2010",4809
"MASON COUNTY","TX","2010",4007
"MATAGORDA COUNTY","TX","2010",36705
"MAVERICK COUNTY","TX","2010",54447
"MEDINA COUNTY","TX","2010",46130
"MENARD COUNTY","TX","2010",2230
"MIDLAND COUNTY","TX","2010",136979
"MILAM COUNTY","TX","2010",24674
"MILLS COUNTY","TX","2010",4968
"MITCHELL COUNTY","TX","2010",9413
"MONTAGUE COUNTY","TX","2010",19715
"MONTGOMERY COUNTY","TX","2010",459185
"MOORE COUNTY","TX","2010",22010
"MORRIS COUNTY","TX","2010",12920
"MOTLEY COUNTY","TX","2010",1205
"NACOGDOCHES COUNTY","TX","2010",64683
"NAVARRO COUNTY","TX","2010",47869
"NEWTON COUNTY","TX","2010",14448
"NOLAN COUNTY","TX","2010",15249
"NUECES COUNTY","TX","2010",340261
"OCHILTREE COUNTY","TX","2010",10169
"OLDHAM COUNTY","TX","2010",2050
"ORANGE COUNTY","TX","2010",82013
"PALO PINTO COUNTY","TX","2010",28082
"PANOLA COUNTY","TX","2010",23770
"PARKER COUNTY","TX","2010",117315
"PARMER COUNTY","TX","2010",10261
"PECOS COUNTY","TX","2010",15519
"POLK COUNTY","TX","2010",45445
"POTTER COUNTY","TX","2010",121382
"PRESIDIO COUNTY","TX","2010",7874
"RAINS COUNTY","TX","2010",10911
"RANDALL COUNTY","TX","2010",121181
"REAGAN COUNTY","TX","2010",3352
"REAL COUNTY","TX","2010",3322
"RED RIVER COUNTY","TX","2010",12877
"REEVES COUNTY","TX","2010",13831
"REFUGIO COUNTY","TX","2010",7375
"ROBERTS COUNTY","TX","2010",924
"ROBERTSON COUNTY","TX","2010",16554
"ROCKWALL COUNTY","TX","2010",78904
"RUNNELS COUNTY","TX","2010",10507
"RUSK COUNTY","TX","2010",53358
"SABINE COUNTY","TX","2010",10870
"SAN AUGUSTINE COUNTY","TX","2010",8857
"SAN JACINTO COUNTY","TX","2010",26474
"SAN PATRICIO COUNTY","TX","2010",64430
"SAN SABA COUNTY","TX","2010",6135
"SCHLEICHER COUNTY","TX","2010",3503
"SCURRY COUNTY","TX","2010",16932
"SHACKELFORD COUNTY","TX","2010",3386
"SHELBY COUNTY","TX","2010",25457
"SHERMAN COUNTY","TX","2010",3025
"SMITH COUNTY","TX","2010",210398
"SOMERVELL COUNTY","TX","2010",8497
"STARR COUNTY","TX","2010",61145
"STEPHENS COUNTY","TX","2010",9616
"STERLING COUNTY","TX","2010",1137
"STONEWALL COUNTY","TX","2010",1496
"SUTTON COUNTY","TX","2010",4062
"SWISHER COUNTY","TX","2010",7913
"TARRANT COUNTY","TX","2010",1817417
"TAYLOR COUNTY","TX","2010",131835
"TERRELL COUNTY","TX","2010",1011
"TERRY COUNTY","TX","2010",12680
"THROCKMORTON COUNTY","TX","2010",1639
"TITUS COUNTY","TX","2010",32414
"TOM GREEN COUNTY","TX","2010",110677
"TRAVIS COUNTY","TX","2010",1030522
"TRINITY COUNTY","TX","2010",14729
"TYLER COUNTY","TX","2010",21762
"UPSHUR COUNTY","TX","2010",39380
"UPTON COUNTY","TX","2010",3338
"UVALDE COUNTY","TX","2010",26438
"VAL VERDE COUNTY","TX","2010",48977
"VAN ZANDT COUNTY","TX","2010",52588
"VICTORIA COUNTY","TX","2010",86883
"WALKER COUNTY","TX","2010",68241
"WALLER COUNTY","TX","2010",43513
"WARD COUNTY","TX","2010",10593
"WASHINGTON COUNTY","TX","2010",33708
"WEBB COUNTY","TX","2010",251327
"WHARTON COUNTY","TX","2010",41278
"WHEELER COUNTY","TX","2010",5389
"WICHITA COUNTY","TX","2010",131796
"WILBARGER COUNTY","TX","2010",13508
"WILLACY COUNTY","TX","2010",22225
"WILLIAMSON COUNTY","TX","2010",426325
"WILSON COUNTY","TX","2010",43057
"WINKLER COUNTY","TX","2010",7086
"WISE COUNTY","TX","2010",59110
"WOOD COUNTY","TX","2010",41983
"YOAKUM COUNTY","TX","2010",7849
"YOUNG COUNTY","TX","2010",18521
"ZAPATA COUNTY","TX","2010",14087
"ZAVALA COUNTY","TX","2010",11723
"ANDERSON COUNTY","TX","2011",58379
"ANDREWS COUNTY","TX","2011",15386
"ANGELINA COUNTY","TX","2011",87282
"ARANSAS COUNTY","TX","2011",23228
"ARCHER COUNTY","TX","2011",8834
"ARMSTRONG COUNTY","TX","2011",1937
"ATASCOSA COUNTY","TX","2011",45483
"AUSTIN COUNTY","TX","2011",28570
"BAILEY COUNTY","TX","2011",7159
"BANDERA COUNTY","TX","2011",20538
"BASTROP COUNTY","TX","2011",75090
"BAYLOR COUNTY","TX","2011",3695
"BEE COUNTY","TX","2011",32312
"BELL COUNTY","TX","2011",315809
"BEXAR COUNTY","TX","2011",1755124
"BLANCO COUNTY","TX","2011",10569
"BORDEN COUNTY","TX","2011",632
"BOSQUE COUNTY","TX","2011",18260
"BOWIE COUNTY","TX","2011",92907
"BRAZORIA COUNTY","TX","2011",319274
"BRAZOS COUNTY","TX","2011",197493
"BREWSTER COUNTY","TX","2011",9352
"BRISCOE COUNTY","TX","2011",1657
"BROOKS COUNTY","TX","2011",7222
"BROWN COUNTY","TX","2011",37981
"BURLESON COUNTY","TX","2011",17304
"BURNET COUNTY","TX","2011",43216
"CALDWELL COUNTY","TX","2011",38422
"CALHOUN COUNTY","TX","2011",21356
"CALLAHAN COUNTY","TX","2011",13508
"CAMERON COUNTY","TX","2011",412917
"CAMP COUNTY","TX","2011",12408
"CARSON COUNTY","TX","2011",6234
"CASS COUNTY","TX","2011",30275
"CASTRO COUNTY","TX","2011",8070
"CHAMBERS COUNTY","TX","2011",35683
"CHEROKEE COUNTY","TX","2011",51076
"CHILDRESS COUNTY","TX","2011",7030
"CLAY COUNTY","TX","2011",10666
"COCHRAN COUNTY","TX","2011",3075
"COKE COUNTY","TX","2011",3266
"COLEMAN COUNTY","TX","2011",8745
"COLLIN COUNTY","TX","2011",813986
"COLLINGSWORTH COUNTY","TX","2011",3081
"COLORADO COUNTY","TX","2011",20785
"COMAL COUNTY","TX","2011",112039
"COMANCHE COUNTY","TX","2011",13853
"CONCHO COUNTY","TX","2011",4117
"COOKE COUNTY","TX","2011",38384
"CORYELL COUNTY","TX","2011",76641
"COTTLE COUNTY","TX","2011",1506
"CRANE COUNTY","TX","2011",4358
"CROCKETT COUNTY","TX","2011",3656
"CROSBY COUNTY","TX","2011",6040
"CULBERSON COUNTY","TX","2011",2392
"DALLAM COUNTY","TX","2011",6882
"DALLAS COUNTY","TX","2011",2408133
"DAWSON COUNTY","TX","2011",13744
"DEAF SMITH COUNTY","TX","2011",19490
"DELTA COUNTY","TX","2011",5146
"DENTON COUNTY","TX","2011",685934
"DEWITT COUNTY","TX","2011",20202
"DICKENS COUNTY","TX","2011",2400
"DIMMIT COUNTY","TX","2011",10111
"DONLEY COUNTY","TX","2011",3688
"DUVAL COUNTY","TX","2011",11795
"EASTLAND COUNTY","TX","2011",18576
"ECTOR COUNTY","TX","2011",139611
"EDWARDS COUNTY","TX","2011",1979
"ELLIS COUNTY","TX","2011",152396
"EL PASO COUNTY","TX","2011",819336
"ERATH COUNTY","TX","2011",38925
"FALLS COUNTY","TX","2011",17850
"FANNIN COUNTY","TX","2011",33872
"FAYETTE COUNTY","TX","2011",24744
"FISHER COUNTY","TX","2011",3957
"FLOYD COUNTY","TX","2011",6369
"FOARD COUNTY","TX","2011",1362
"FORT BEND COUNTY","TX","2011",606499
"FRANKLIN COUNTY","TX","2011",10563
"FREESTONE COUNTY","TX","2011",19596
"FRIO COUNTY","TX","2011",17495
"GAINES COUNTY","TX","2011",17902
"GALVESTON COUNTY","TX","2011",295609
"GARZA COUNTY","TX","2011",6565
"GILLESPIE COUNTY","TX","2011",25038
"GLASSCOCK COUNTY","TX","2011",1237
"GOLIAD COUNTY","TX","2011",7208
"GONZALES COUNTY","TX","2011",19742
"GRAY COUNTY","TX","2011",22651
"GRAYSON COUNTY","TX","2011",121372
"GREGG COUNTY","TX","2011",122603
"GRIMES COUNTY","TX","2011",26642
"GUADALUPE COUNTY","TX","2011",135789
"HALE COUNTY","TX","2011",36398
"HALL COUNTY","TX","2011",3311
"HAMILTON COUNTY","TX","2011",8384
"HANSFORD COUNTY","TX","2011",5574
"HARDEMAN COUNTY","TX","2011",4159
"HARDIN COUNTY","TX","2011",55061
"HARRIS COUNTY","TX","2011",4180816
"HARRISON COUNTY","TX","2011",66324
"HARTLEY COUNTY","TX","2011",6028
"HASKELL COUNTY","TX","2011",5958
"HAYS COUNTY","TX","2011",163234
"HEMPHILL COUNTY","TX","2011",3951
"HENDERSON COUNTY","TX","2011",78792
"HIDALGO COUNTY","TX","2011",794639
"HILL COUNTY","TX","2011",35184
"HOCKLEY COUNTY","TX","2011",22927
"HOOD COUNTY","TX","2011",51543
"HOPKINS COUNTY","TX","2011",35253
"HOUSTON COUNTY","TX","2011",23425
"HOWARD COUNTY","TX","2011",34989
"HUDSPETH COUNTY","TX","2011",3411
"HUNT COUNTY","TX","2011",86706
"HUTCHINSON COUNTY","TX","2011",22013
"IRION COUNTY","TX","2011",1592
"JACK COUNTY","TX","2011",9034
"JACKSON COUNTY","TX","2011",14044
"JASPER COUNTY","TX","2011",36192
"JEFF DAVIS COUNTY","TX","2011",2282
"JEFFERSON COUNTY","TX","2011",253397
"JIM HOGG COUNTY","TX","2011",5286
"JIM WELLS COUNTY","TX","2011",41206
"JOHNSON COUNTY","TX","2011",152058
"JONES COUNTY","TX","2011",20267
"KARNES COUNTY","TX","2011",14947
"KAUFMAN COUNTY","TX","2011",105188
"KENDALL COUNTY","TX","2011",34456
"KENEDY COUNTY","TX","2011",436
"KENT COUNTY","TX","2011",812
"KERR COUNTY","TX","2011",49607
"KIMBLE COUNTY","TX","2011",4594
"KING COUNTY","TX","2011",259
"KINNEY COUNTY","TX","2011",3608
"KLEBERG COUNTY","TX","2011",32026
"KNOX COUNTY","TX","2011",3720
"LAMAR COUNTY","TX","2011",49863
"LAMB COUNTY","TX","2011",14051
"LAMPASAS COUNTY","TX","2011",19926
"LA SALLE COUNTY","TX","2011",6999
"LAVACA COUNTY","TX","2011",19305
"LEE COUNTY","TX","2011",16555
"LEON COUNTY","TX","2011",16830
"LIBERTY COUNTY","TX","2011",75970
"LIMESTONE COUNTY","TX","2011",23566
"LIPSCOMB COUNTY","TX","2011",3329
"LIVE OAK COUNTY","TX","2011",11502
"LLANO COUNTY","TX","2011",19061
"LOVING COUNTY","TX","2011",95
"LUBBOCK COUNTY","TX","2011",283388
"LYNN COUNTY","TX","2011",5887
"MCCULLOCH COUNTY","TX","2011",8254
"MCLENNAN COUNTY","TX","2011",237826
"MCMULLEN COUNTY","TX","2011",697
"MADISON COUNTY","TX","2011",13739
"MARION COUNTY","TX","2011",10479
"MARTIN COUNTY","TX","2011",4889
"MASON COUNTY","TX","2011",4022
"MATAGORDA COUNTY","TX","2011",36681
"MAVERICK COUNTY","TX","2011",55224
"MEDINA COUNTY","TX","2011",46523
"MENARD COUNTY","TX","2011",2212
"MIDLAND COUNTY","TX","2011",140172
"MILAM COUNTY","TX","2011",24597
"MILLS COUNTY","TX","2011",4881
"MITCHELL COUNTY","TX","2011",9394
"MONTAGUE COUNTY","TX","2011",19756
"MONTGOMERY COUNTY","TX","2011",471438
"MOORE COUNTY","TX","2011",22090
"MORRIS COUNTY","TX","2011",12770
"MOTLEY COUNTY","TX","2011",1200
"NACOGDOCHES COUNTY","TX","2011",65639
"NAVARRO COUNTY","TX","2011",48053
"NEWTON COUNTY","TX","2011",14561
"NOLAN COUNTY","TX","2011",15129
"NUECES COUNTY","TX","2011",343225
"OCHILTREE COUNTY","TX","2011",10422
"OLDHAM COUNTY","TX","2011",2071
"ORANGE COUNTY","TX","2011",82337
"PALO PINTO COUNTY","TX","2011",28052
"PANOLA COUNTY","TX","2011",24004
"PARKER COUNTY","TX","2011",118312
"PARMER COUNTY","TX","2011",10260
"PECOS COUNTY","TX","2011",15639
"POLK COUNTY","TX","2011",45580
"POTTER COUNTY","TX","2011",122313
"PRESIDIO COUNTY","TX","2011",7756
"RAINS COUNTY","TX","2011",11000
"RANDALL COUNTY","TX","2011",123437
"REAGAN COUNTY","TX","2011",3391
"REAL COUNTY","TX","2011",3431
"RED RIVER COUNTY","TX","2011",12684
"REEVES COUNTY","TX","2011",13799
"REFUGIO COUNTY","TX","2011",7319
"ROBERTS COUNTY","TX","2011",926
"ROBERTSON COUNTY","TX","2011",16654
"ROCKWALL COUNTY","TX","2011",81034
"RUNNELS COUNTY","TX","2011",10494
"RUSK COUNTY","TX","2011",53680
"SABINE COUNTY","TX","2011",10725
"SAN AUGUSTINE COUNTY","TX","2011",8793
"SAN JACINTO COUNTY","TX","2011",26781
"SAN PATRICIO COUNTY","TX","2011",64455
"SAN SABA COUNTY","TX","2011",6037
"SCHLEICHER COUNTY","TX","2011",3307
"SCURRY COUNTY","TX","2011",16876
"SHACKELFORD COUNTY","TX","2011",3338
"SHELBY COUNTY","TX","2011",25730
"SHERMAN COUNTY","TX","2011",3014
"SMITH COUNTY","TX","2011",212653
"SOMERVELL COUNTY","TX","2011",8419
"STARR COUNTY","TX","2011",61582
"STEPHENS COUNTY","TX","2011",9526
"STERLING COUNTY","TX","2011",1169
"STONEWALL COUNTY","TX","2011",1463
"SUTTON COUNTY","TX","2011",3988
"SWISHER COUNTY","TX","2011",7800
"TARRANT COUNTY","TX","2011",1847875
"TAYLOR COUNTY","TX","2011",132858
"TERRELL COUNTY","TX","2011",950
"TERRY COUNTY","TX","2011",12645
"THROCKMORTON COUNTY","TX","2011",1637
"TITUS COUNTY","TX","2011",32423
"TOM GREEN COUNTY","TX","2011",111753
"TRAVIS COUNTY","TX","2011",1061687
"TRINITY COUNTY","TX","2011",14687
"TYLER COUNTY","TX","2011",21660
"UPSHUR COUNTY","TX","2011",39733
"UPTON COUNTY","TX","2011",3282
"UVALDE COUNTY","TX","2011",26565
"VAL VERDE COUNTY","TX","2011",48950
"VAN ZANDT COUNTY","TX","2011",52491
"VICTORIA COUNTY","TX","2011",87530
"WALKER COUNTY","TX","2011",68408
"WALLER COUNTY","TX","2011",44088
"WARD COUNTY","TX","2011",10672
"WASHINGTON COUNTY","TX","2011",33957
"WEBB COUNTY","TX","2011",255598
"WHARTON COUNTY","TX","2011",41260
"WHEELER COUNTY","TX","2011",5445
"WICHITA COUNTY","TX","2011",130776
"WILBARGER COUNTY","TX","2011",13440
"WILLACY COUNTY","TX","2011",22166
"WILLIAMSON COUNTY","TX","2011",442177
"WILSON COUNTY","TX","2011",43668
"WINKLER COUNTY","TX","2011",7161
"WISE COUNTY","TX","2011",59953
"WOOD COUNTY","TX","2011",42140
"YOAKUM COUNTY","TX","2011",7960
"YOUNG COUNTY","TX","2011",18346
"ZAPATA COUNTY","TX","2011",14223
"ZAVALA COUNTY","TX","2011",11865
"ANDERSON COUNTY","TX","2012",58036
"ANDREWS COUNTY","TX","2012",16106
"ANGELINA COUNTY","TX","2012",87496
"ARANSAS COUNTY","TX","2012",23462
"ARCHER COUNTY","TX","2012",8808
"ARMSTRONG COUNTY","TX","2012",1955
"ATASCOSA COUNTY","TX","2012",46415
"AUSTIN COUNTY","TX","2012",28516
"BAILEY COUNTY","TX","2012",7107
"BANDERA COUNTY","TX","2012",20595
"BASTROP COUNTY","TX","2012",74799
"BAYLOR COUNTY","TX","2012",3590
"BEE COUNTY","TX","2012",32474
"BELL COUNTY","TX","2012",324989
"BEXAR COUNTY","TX","2012",1788244
"BLANCO COUNTY","TX","2012",10614
"BORDEN COUNTY","TX","2012",614
"BOSQUE COUNTY","TX","2012",18123
"BOWIE COUNTY","TX","2012",93114
"BRAZORIA COUNTY","TX","2012",324433
"BRAZOS COUNTY","TX","2012",200269
"BREWSTER COUNTY","TX","2012",9262
"BRISCOE COUNTY","TX","2012",1573
"BROOKS COUNTY","TX","2012",7198
"BROWN COUNTY","TX","2012",37755
"BURLESON COUNTY","TX","2012",17409
"BURNET COUNTY","TX","2012",43377
"CALDWELL COUNTY","TX","2012",38684
"CALHOUN COUNTY","TX","2012",21575
"CALLAHAN COUNTY","TX","2012",13483
"CAMERON COUNTY","TX","2012",415370
"CAMP COUNTY","TX","2012",12460
"CARSON COUNTY","TX","2012",6086
"CASS COUNTY","TX","2012",30023
"CASTRO COUNTY","TX","2012",8217
"CHAMBERS COUNTY","TX","2012",36489
"CHEROKEE COUNTY","TX","2012",51261
"CHILDRESS COUNTY","TX","2012",7098
"CLAY COUNTY","TX","2012",10522
"COCHRAN COUNTY","TX","2012",3021
"COKE COUNTY","TX","2012",3201
"COLEMAN COUNTY","TX","2012",8668
"COLLIN COUNTY","TX","2012",836789
"COLLINGSWORTH COUNTY","TX","2012",3019
"COLORADO COUNTY","TX","2012",20698
"COMAL COUNTY","TX","2012",114808
"COMANCHE COUNTY","TX","2012",13709
"CONCHO COUNTY","TX","2012",4055
"COOKE COUNTY","TX","2012",38675
"CORYELL COUNTY","TX","2012",78488
"COTTLE COUNTY","TX","2012",1484
"CRANE COUNTY","TX","2012",4527
"CROCKETT COUNTY","TX","2012",3703
"CROSBY COUNTY","TX","2012",6030
"CULBERSON COUNTY","TX","2012",2315
"DALLAM COUNTY","TX","2012",7048
"DALLAS COUNTY","TX","2012",2454781
"DAWSON COUNTY","TX","2012",13601
"DEAF SMITH COUNTY","TX","2012",19327
"DELTA COUNTY","TX","2012",5241
"DENTON COUNTY","TX","2012",708139
"DEWITT COUNTY","TX","2012",20365
"DICKENS COUNTY","TX","2012",2321
"DIMMIT COUNTY","TX","2012",10477
"DONLEY COUNTY","TX","2012",3645
"DUVAL COUNTY","TX","2012",11585
"EASTLAND COUNTY","TX","2012",18455
"ECTOR COUNTY","TX","2012",144455
"EDWARDS COUNTY","TX","2012",1988
"ELLIS COUNTY","TX","2012",153712
"EL PASO COUNTY","TX","2012",831126
"ERATH COUNTY","TX","2012",39414
"FALLS COUNTY","TX","2012",17561
"FANNIN COUNTY","TX","2012",33576
"FAYETTE COUNTY","TX","2012",24654
"FISHER COUNTY","TX","2012",3848
"FLOYD COUNTY","TX","2012",6349
"FOARD COUNTY","TX","2012",1311
"FORT BEND COUNTY","TX","2012",625394
"FRANKLIN COUNTY","TX","2012",10639
"FREESTONE COUNTY","TX","2012",19475
"FRIO COUNTY","TX","2012",17908
"GAINES COUNTY","TX","2012",18284
"GALVESTON COUNTY","TX","2012",301059
"GARZA COUNTY","TX","2012",6417
"GILLESPIE COUNTY","TX","2012",25152
"GLASSCOCK COUNTY","TX","2012",1273
"GOLIAD COUNTY","TX","2012",7332
"GONZALES COUNTY","TX","2012",19915
"GRAY COUNTY","TX","2012",22908
"GRAYSON COUNTY","TX","2012",121750
"GREGG COUNTY","TX","2012",122995
"GRIMES COUNTY","TX","2012",26672
"GUADALUPE COUNTY","TX","2012",139586
"HALE COUNTY","TX","2012",36269
"HALL COUNTY","TX","2012",3266
"HAMILTON COUNTY","TX","2012",8239
"HANSFORD COUNTY","TX","2012",5523
"HARDEMAN COUNTY","TX","2012",4096
"HARDIN COUNTY","TX","2012",55117
"HARRIS COUNTY","TX","2012",4262689
"HARRISON COUNTY","TX","2012",66242
"HARTLEY COUNTY","TX","2012",6081
"HASKELL COUNTY","TX","2012",5887
"HAYS COUNTY","TX","2012",168478
"HEMPHILL COUNTY","TX","2012",4082
"HENDERSON COUNTY","TX","2012",78938
"HIDALGO COUNTY","TX","2012",806725
"HILL COUNTY","TX","2012",35134
"HOCKLEY COUNTY","TX","2012",23063
"HOOD COUNTY","TX","2012",52154
"HOPKINS COUNTY","TX","2012",35313
"HOUSTON COUNTY","TX","2012",23207
"HOWARD COUNTY","TX","2012",35482
"HUDSPETH COUNTY","TX","2012",3352
